feature_total,mbti_i_e,mbti_n_s,mbti_f_t,mbti_j_p
선의의 옹호자 예언자 유형  인내심이 많고 통찰력과 직관력이 뛰어나며 양심이 바르고 화합을 추구한다  창의력이 뛰어나며  강한 직관력으로 말없이 타인에게 영향력을 끼친다  독창성과 내적 독립심이 강하며  확고한 신념과 열정으로 자신의 영감을 구현시켜 나가는 정신적 지도자들이 많다  한 곳에 몰두하는 경향으로 목적 달성에 필요한 주변적인 조건들을 경시하기 쉽고  자기 안의 갈등이 많고 복잡하다  이들은 풍부한 내적인 생활을 소유하고 있다 ,1,0,0,0
영감력이 뛰어나고 깊은 통찰력이 있다 ,1,0,0,0
특유의 페르소나를 사용해 타인에게 잘 맞춰주는 대표적인 유형이며 언쟁과 싸움을 조정하고자 한다 ,1,0,0,0
평소에는 온화하지만 자신의 신념에 어긋나는 일이나 인내심의 한계를 넘을 경우엔 불같이 화를 낼 수 있다  거기다 한번 화가 나면 스스로를 제어하기 힘들기도 하다 ,1,0,0,0
사람'에 대한 관심이 많다 ,1,0,0,0
"의미 없다고 느끼는 일에 "" "" 가 따른다  또한 어떤 일에 의미부여하는 것을 좋아한다 ",1,0,0,0
겉으로 티 내지 않으나 완벽주의가 강하다 ,1,0,0,0
이상적이고 창조적이나 동시에 염세적이다 ,1,0,0,0
타인에게 도움을 주는 것에 기뻐하지만  상처를 크게 받을 경우 가장 냉정하게 인간관계를 정리한다  ,1,0,0,0
특유의 깊고 따뜻한 속마음과 순수함이 있다  다만 겉으로 쉽게 잘 드러내지 않을 뿐이다 ,1,0,0,0
거짓말을 날카롭게 간파한다  하지만 분위기상 모른 척하거나 눈감아 주는 게 대부분이다 ,1,0,0,0
생각이 많아 현실과 동떨어져 있으며  이에 적응하기 어렵다  이때문에 간단한 일을 실수할 때가 있다 ,1,0,0,0
상대의 감정을 잘 파악하지만 자신의 감정을 잘 드러내지 않는다 ,1,0,0,0
상대의 장점을 굉장히 잘 알아낸다  동시에 단점 또한 잘 알아낸다 ,1,0,0,0
같은 나이에 비해서 조숙해 보인다  어른스럽다는 말을 많이 듣는 편이다  때론 애늙은이 소리를 듣는 경우도 있다 ,1,0,0,0
깨지지 않는 차분한 아우라를 지닌 사람들이 많다  신비로운 분위기를 내는 대표적인 유형이다 ,1,0,0,0
문제의 본질을 생각한다  ,1,0,0,0
비유와 은유를 잘한다 ,1,0,0,0
본인이 하는 말을 남들이 잘 이해하지 못하는 경우가 있다 ,1,0,0,0
독립심이 강하고 자기주관이 뚜렷하기 때문에 구속 받거나 강요 당하는 것을 아주 싫어한다 ,1,0,0,0
타인의 시선에서 보았을 때  내향적이면서도 외향적이다  단  이러한 인상에 다가가 섣불리 친해지려하면  호불호가 분명한 성격 특성상 경계할 가능성이 높다 ,1,0,0,0
사람과의 교제 시작이 어렵고   대체로 집돌이/집순이들이 많다 ,1,0,0,0
필요 시 페르소나를 사용한다  다른 사람이나 자신에 대해 표면적 성격 속에 내면적 성격이 하나 더 있다고 느낀다 ,1,0,0,0
거짓말을 잘 못하지만 특유의 솔직하고 '모든 것을 말하지 않는' 화법 때문에 페르소나를 잘 쓴다고 말할 수 있다  일부러 상대방을 속이려는 의도는 아니다 ,1,0,0,0
호불호가 분명하며  ‘불호’라고 생각하는 일이나 사람에게 관심이 없다 ,1,0,0,0
이들의 가장 명확한 목표 중 하나는 다른 사람들을 돕는 것이다  그들이 발전하고  진보하며  자립할 수 있도록 돕는다  ,1,0,0,0
조용히 책 읽는 것을 좋아하는 경우가 많고  사색을 즐기는 편이다 ,1,0,0,0
자아성찰을 꽤 냉정하게 하여 타인에게보다 본인 스스로에게 더 엄격하다 ,1,0,0,0
주위의 사소한 변화도 금방 알아채고 눈치가 얍삽할 정도로 매우 빠른 편이다 ,1,0,0,0
내성적이고 조용하지만 외향 감정을 활용하여 어느 상황에나 자신을 카멜레온처럼 보호색을 입혀 적당히 적응한다  ,1,0,0,0
상처를 잘 받는다  ,1,0,0,0
차분하면서도 감성적이다 ,1,0,0,0
속마음을 잘 드러내지 않는다 ,1,0,0,0
사람에 대한 통찰력이 높다  ,1,0,0,0
복잡한 의미와 사람들과의 관계를 직관적으로 잘 이해한다 ,1,0,0,0
