,stopwords,
1,사법연수원,
5,고등학교,
7,수양대군,
9,프로그램,
11,아줌마들,
14,해성그룹,
18,을지해이,
19,눈엣가시,
20,할아버지,
26,승승장구,
28,뒷바라지,
29,스트레스,
30,돌담병원,
31,프로젝트,
37,신데렐라,
41,대성펄프,
42,사기동대,
47,콤플렉스,
48,결혼생활,
51,대한민국,
53,초등학교,
54,체납자들,
55,사회생활,
56,한서진,
57,아모개,
58,목소리,
61,스타일,
62,오명심,
63,김홍도,
65,아가씨,
67,검사들,
68,어른들,
70,누나들,
71,표나리,
72,피지컬,
74,자신감,
75,도현수,
76,롤모델,
77,천송이,
78,겉보기,
81,존재감,
82,이상형,
83,사건들,
84,호랑이,
86,흉부외,
88,받아들,
89,진평왕,
90,선배들,
91,도화서,
92,가족들,
93,여운광,
94,교수들,
96,융통성,
97,동료들,
98,한마디,
99,백광현,
100,후배들,
102,한수호,
103,로맨스,
105,시집살,
106,아이들,
108,그림자,
112,백성일,
114,하노라,
115,청나라,
116,조필연,
117,거짓말,
118,대부분,
120,부모님,
122,식구들,
123,그대로,
124,주남대,
126,납골당,
127,차윤희,
129,200,
131,황태섭,
133,드라마,
136,타이틀,
137,유생들,
139,책임감,
140,산부인,
141,박민국,
142,지선우,
144,아이콘,
146,서준희,
148,강우석,
149,내의원,
150,오해영,
151,백화점,
152,최우선,
155,사람들,
157,아저씨,
161,환자들,
162,윤회장,
163,하인수,
165,월추리,
166,자존심,
168,사무실,
169,누군가,
170,있어서,
171,남자들,
172,안영이,
174,인터넷,
176,개인주,
177,보도국,
178,남학생,
179,박태수,
180,자식들,
181,친구들,
182,진흥왕,
183,추영배,
184,편집자,
185,직원들,
190,산전수,
192,실질적,
196,성균관,
200,여자들,
201,동아리,
203,이야기,
204,새로이,
205,언젠가,
206,카지노,
211,이종도,
215,강준상,
218,장화사,
220,컴퓨터,
223,여대생,
224,오른팔,
225,델루나,
226,김유신,
227,정반대,
228,아이템,
229,못마땅,
230,스스로,
231,백사단,
233,사회성,
234,을지해,
236,아줌마,
239,소개팅,
244,김사부,
245,박성범,
247,강태,
248,수연,
249,게임,
250,혼자,
251,직원,
253,무장,
254,노릇,
